Batch_ID,T80,Smiles,NumRotatableBonds,NumHeteroatoms,TDOS2.5,TDOS3.9
Train-01,103.86,CCCCCCCCCCCCc1ccsc1-c1ccc(-c2cccs2)cc1,13,2,0.012859489,1.463188841
Train-02,101.13,CCCCCCCCCCCCc1ccsc1-c1cccs1,12,2,0.000110011,2.124073105
Train-03,78.3,CN1CCN(S(=O)(=O)c2ccc(-c3ccc(-c4cccs4)cc3)cc2)CC1,4,6,0.006668781,1.920736453
Train-04,71.88,O=C1c2ccccc2C(=O)c2cc(-c3ccc(-c4cccs4)s3)ccc21,2,4,2.020804318,5.783546157
Train-05,68.37,CC(C)(C)OC(=O)n1ccc2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)cc3)cc21,3,5,0.910936761,2.207380673
Train-06,51.7,c1csc(-c2ccc(-c3ccc(-c4ccc5c(c4)C4(c6ccccc6Oc6ccccc64)c4ccccc4-5)cc3)s2)c1,3,3,1.451348582,4.850778689
Train-07,48,CC(C)(C)OC(=O)CN1C(=O)CCc2cc(-c3ccc(-c4cccs4)s3)ccc21,4,6,0.965114613,1.979402631
Train-08,44.96,Cc1cc(-c2ccc(-c3ccc(-c4cccs4)s3)cc2)c2nnnn2c1,3,6,1.529709715,1.955053578
Train-09,38.74,CCCCCCCCCCCCc1ccsc1-c1ccc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)s1,15,5,1.996122789,3.189055997
Train-10,32.17,Cc1ccc(-c2ccc(-c3ccc(-c4cccs4)s3)cc2)cc1Cc1ccc(-c2ccc(F)cc2)s1,6,4,1.145626125,2.978257194
Train-11,31.94,CC(NC(=O)OC(C)(C)C)c1ccc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)cc1,5,6,1.998460365,2.573292145
Train-12,24.91,c1ccc([Si](c2ccccc2)(c2ccccc2)c2cccc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)c2)cc1,7,4,1.804293522,4.64467916
Train-13,23.09,CCCCC(CC)COc1c2cc(-c3ccc4oc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4c3)sc2c(OCC(CC)CCCC)c2ccsc12,19,6,0.532287484,10.42163986
Train-14,19.48,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2-c2cc3sc(-c4ccc(-c5cccs5)s4)cc3s2)cc1,4,4,1.158836632,6.362506914
Train-15,15.64,Cc1ccc(NC(=O)OC(C)(C)C)cc1-c1cc2sc(-c3ccc(-c4cccs4)s3)cc2s1,4,7,1.914025141,6.963705501
Train-16,15,CCCCC(CC)COc1c2cc(-c3cccc(-c4c5ccccc5c(-c5cccc6ccccc56)c5ccccc45)c3)sc2c(OCC(CC)CCCC)c2ccsc12,17,4,1.466481665,10.75426535
Train-17,10.88,CCCCC(CC)COc1c2cc(-c3ccc4oc(-c5ccc6[nH]c(-c7ccccc7F)cc6c5)cc4c3)sc2c(OCC(CC)CCCC)c2ccsc12,17,7,0.458875004,7.680269049
Train-18,10.8,c1ccc(C(c2ccccc2)(c2ccccc2)n2cnc(-c3ccc(-c4ccc(-c5cccs5)s4)cc3)c2)cc1,7,4,1.158920061,4.067765234
Train-19,10.6,CCCCC(CC)COc1c2cc(-c3ccc(-c4nc(C#N)cs4)[se]3)sc2c(OCC(CC)CCCC)c2ccsc12,16,8,1.807092343,5.897377425
Train-20,10.49,CCCCC(CC)COc1c2cc(-c3ccc4oc(-c5cccc([Si](c6ccccc6)(c6ccccc6)c6ccccc6)c5)cc4c3)sc2c(OCC(CC)CCCC)c2ccsc12,20,6,0.32022864,7.526935677
Train-21,10.48,Cc1cc(N2CCN(C)CC2)ncc1-c1cc2sc(-c3ccc(-c4cccs4)s3)cc2s1,4,7,1.816478599,5.595134193
Train-22,9.77,CCCCC(CC)COc1c2cc(-c3ccc4oc(-c5ccc6c(c5)CCC(=O)N6CC(=O)OC(C)(C)C)cc4c3)sc2c(OCC(CC)CCCC)c2ccsc12,18,9,0.555475769,6.590132724
Train-23,9.7,CCCCC(CC)COc1c2cc(-c3cccc(-c4cc(OCc5ccccc5)cc(OCc5ccccc5)c4)c3)sc2c(OCC(CC)CCCC)c2ccsc12,22,6,0.489690674,7.713463875
Train-24,9.3,CCCCC(CC)COc1c2cc(-c3cccc(N4CCCC4)c3C=O)sc2c(OCC(CC)CCCC)c2ccsc12,17,6,0.571199241,6.564247694
Train-25,9.15,CCCCC(CC)COc1c2cc(-c3ccc4oc(-c5cnc(N6CCN(C)CC6)cc5C)cc4c3)sc2c(OCC(CC)CCCC)c2ccsc12,17,8,0.310200729,7.086075414
Train-26,8.87,Cc1cc(N2CCN(C)CC2)ncc1-c1ccc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)s1,5,7,1.825964189,4.08433192
Train-27,8.64,CCCCCCCCCCCCc1ccsc1-c1cc2sc(-c3ccc(-c4cccs4)s3)cc2s1,14,5,1.840916263,4.666549857
Train-28,7.86,CCCCCCCCCCCCc1ccsc1-c1ccc(-c2ccc(-c3cccs3)s2)[se]1,14,4,1.437375514,4.430500738
Train-29,6.67,CC(C)(C)OC(=O)N1CCc2nc(-c3ccc(-c4ccc(-c5cccs5)s4)cc3)sc2C1,3,7,1.335996691,2.289467012
Train-30,5.34,CCCCC(CC)COc1c2cc(-c3ccc(C=CC(=O)O)cc3F)sc2c(OCC(CC)CCCC)c2ccsc12,17,7,1.404692962,7.337506353
Train-31,5,COc1ccc(CNc2ccc([N+](=O)[O-])cc2-c2cccc(-c3ccc(-c4cccs4)s3)c2)cc1,8,7,1.736427953,7.0667746
Train-32,5,CCCCC(CC)COc1c2cc(-c3cccc(S(=O)(=O)N4CCC4)c3)sc2c(OCC(CC)CCCC)c2ccsc12,17,8,0.582467753,4.671220357
Train-33,4.8,CCCCC(CC)COc1c2cc(-c3ccc4oc(-c5c(C(=O)OCC)[nH]c6ccccc56)cc4c3)sc2c(OCC(CC)CCCC)c2ccsc12,18,8,1.549436976,8.089378363
Train-34,3.5,CCCCC(CC)COc1c2cc(-c3cccc(-c4cc(S(=O)(=O)O)c(N)c5c4C(=O)c4ccccc4C5=O)c3)sc2c(OCC(CC)CCCC)c2ccsc12,17,11,2.571654627,10.22917293
Train-35,3,CCCCC(CC)COc1c2cc(-c3ccc(-c4ccc(-c5ccc(Nc6ncnc7cc(OCC8CCN(C)CC8)c(OC)cc67)c(F)c5)s4)s3)sc2c(OCC(CC)CCCC)c2ccsc12,23,13,2.200909649,9.346100125
Train-36,2.42,CCCCC(CC)COc1c2cc(-c3ccc(-c4ccc(C)s4)[se]3)sc2c(OCC(CC)CCCC)c2ccsc12,16,6,1.607863954,6.069369688
Train-37,2.36,c1ccc(-c2c3ccccc3c(-c3ccc(-c4cccs4)s3)c3ccccc23)cc1,3,2,0.894386184,8.855905145
Train-38,1.9,CCCCC(CC)COc1c2cc(-c3ccc(-c4cc(N)c(N)c(C(=O)OC)c4)s3)sc2c(OCC(CC)CCCC)c2ccsc12,17,9,1.959069496,6.730180027
Train-39,1.5,CCCCC(CC)COc1c2cc(-c3ccc(-c4ccc(-c5cc(-c6csc(C)n6)ccc5OC)s4)s3)sc2c(OCC(CC)CCCC)c2ccsc12,19,9,1.960543368,7.690881058
Train-40,1.5,CCCCC(CC)COc1c2cc(-c3cc4sc(-c5ccc(S(=O)(=O)NCCNC(=O)OC(C)(C)C)cc5)cc4s3)sc2c(OCC(CC)CCCC)c2ccsc12,21,13,2.01972301,6.077795285
Train-41,4.38,c3cc(c2ccc(c1ccncc1)s2)ccn3,2,3,0.266348196,2.627493005
Train-42,20.76,CCCCCCc2c(CCCCCC)c(c1cccc(OC)c1)sc2c3ccc(C(=O)OC)cc3,18,4,0.001063401,3.683561166
